[09-Jun-2015 00:41:36 UTC] PHP Parse error:  syntax error, unexpected '>' in /Users/jamiehutson/Desktop/GitHub/sarasotagop.com/wp-includes/template.php on line 509
[09-Jun-2015 02:44:29 UTC] PHP Warning:  include(/Users/jamiehutson/Desktop/GitHub/sarasotagop.com/wp-content/advanced-cache.php): failed to open stream: No such file or directory in /Users/jamiehutson/Desktop/GitHub/sarasotagop.com/wp-settings.php on line 65
[09-Jun-2015 02:44:29 UTC] PHP Warning:  include(): Failed opening '/Users/jamiehutson/Desktop/GitHub/sarasotagop.com/wp-content/advanced-cache.php' for inclusion (include_path='.:/Applications/MAMP/bin/php/php5.6.7/lib/php') in /Users/jamiehutson/Desktop/GitHub/sarasotagop.com/wp-settings.php on line 65
[09-Jun-2015 02:44:29 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Users/jamiehutson/Desktop/GitHub/sarasotagop.com/wp-settings.php:65) in /Users/jamiehutson/Desktop/GitHub/sarasotagop.com/wp-login.php on line 425
[09-Jun-2015 02:44:29 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Users/jamiehutson/Desktop/GitHub/sarasotagop.com/wp-settings.php:65) in /Users/jamiehutson/Desktop/GitHub/sarasotagop.com/wp-login.php on line 438
[09-Jun-2015 02:44:32 UTC] PHP Warning:  include(/Users/jamiehutson/Desktop/GitHub/sarasotagop.com/wp-content/advanced-cache.php): failed to open stream: No such file or directory in /Users/jamiehutson/Desktop/GitHub/sarasotagop.com/wp-settings.php on line 65
[09-Jun-2015 02:44:32 UTC] PHP Warning:  include(): Failed opening '/Users/jamiehutson/Desktop/GitHub/sarasotagop.com/wp-content/advanced-cache.php' for inclusion (include_path='.:/Applications/MAMP/bin/php/php5.6.7/lib/php') in /Users/jamiehutson/Desktop/GitHub/sarasotagop.com/wp-settings.php on line 65
[09-Jun-2015 02:44:32 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Users/jamiehutson/Desktop/GitHub/sarasotagop.com/wp-settings.php:65) in /Users/jamiehutson/Desktop/GitHub/sarasotagop.com/wp-login.php on line 425
[09-Jun-2015 02:44:32 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Users/jamiehutson/Desktop/GitHub/sarasotagop.com/wp-settings.php:65) in /Users/jamiehutson/Desktop/GitHub/sarasotagop.com/wp-login.php on line 438
[09-Jun-2015 02:44:32 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Users/jamiehutson/Desktop/GitHub/sarasotagop.com/wp-settings.php:65) in /Users/jamiehutson/Desktop/GitHub/sarasotagop.com/wp-includes/pluggable.php on line 925
[09-Jun-2015 02:44:32 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Users/jamiehutson/Desktop/GitHub/sarasotagop.com/wp-settings.php:65) in /Users/jamiehutson/Desktop/GitHub/sarasotagop.com/wp-includes/pluggable.php on line 926
[09-Jun-2015 02:44:32 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Users/jamiehutson/Desktop/GitHub/sarasotagop.com/wp-settings.php:65) in /Users/jamiehutson/Desktop/GitHub/sarasotagop.com/wp-includes/pluggable.php on line 927
[09-Jun-2015 03:29:19 UTC] PHP Parse error:  syntax error, unexpected '?' in /Users/jamiehutson/Desktop/GitHub/sarasotagop.com/.maintenance on line 1
[09-Jun-2015 03:29:21 UTC] PHP Parse error:  syntax error, unexpected '?' in /Users/jamiehutson/Desktop/GitHub/sarasotagop.com/.maintenance on line 1
